,name,price,rating,dis_ends,dis_start,release,discount
0,"Little Inferno
new historical low",2.99 SR,91.28%,in 3 days,4 hours ago,9 years ago,-90%
1,"Human Resource Machine
new historical low",7.48 SR,90.11%,in 3 days,4 hours ago,6 years ago,-75%
2,"HIVESWAP: ACT 1
new historical low",6.28 SR,89.56%,in 2 days,4 hours ago,4 years ago,-65%
3,"7 Billion Humans
new historical low",7.48 SR,88.34%,in 3 days,4 hours ago,3 years ago,-75%
4,"Pesterquest
new historical low",8.48 SR,86.06%,in 2 days,4 hours ago,2 years ago,-66%
5,"HIVESWAP: ACT 2
new historical low",22.46 SR,82.57%,,,,-25%
6,The Life and Suffering of Sir Brante,22.71 SR,88.73%,,,,-35%
7,"Hiveswap Friendsim
lowest price is 1.37 SR at -50%",9.16 SR,88.26%,,,,-66%
8,Accident,17.97 SR,76.57%,,,,-40%
9,Teardown,31.96 SR,93.26%,in 3 days,yesterday,13 months ago,-20%
10,Fights in Tight Spaces,35.95 SR,89.39%,in 6 days,yesterday,2 days ago,-10%
11,"The Last Campfire
new historical low",20.96 SR,91.69%,in 3 days,4 hours ago,2 months ago,-30%
12,"Sea of Thieves
lowest price is 29.97 SR at -50%",35.97 SR,89.34%,in 20 hours,9 days ago,2 years ago,-40%
13,"Gloomhaven
lowest price is 27.16 SR at -32%",43.16 SR,85.55%,in 3 days,yesterday,2 months ago,-20%
14,"Wartales
new historical low",89.95 SR,81.31%,in 5 days,2 days ago,3 days ago,-10%
15,BIOMUTANT,112.00 SR,67.07%,in 3 days,yesterday,6 months ago,-50%
16,"Happy's Humble Burger Farm
new historical low",31.45 SR,64.78%,in 7 days,5 hours ago,22 hours ago,-10%
17,ICARUS,42.25 SR,-,in 3 days,3 months ago,22 hours ago,-10%
18,A Plague Tale: Innocence,42.25 SR,92.09%,in 3 days,yesterday,3 years ago,-75%
19,"The Room 4: Old Sins
lowest price is 12.96 SR at -35%",14.96 SR,95.57%,in 3 days,yesterday,10 months ago,-25%
20,"Kitty Powers' Matchmaker
lowest price is 8.25 SR at -75%",16.50 SR,89.59%,in 3 days,yesterday,7 years ago,-50%
21,"Motorsport Manager
lowest price is 13.95 SR at -85%",18.75 SR,89.15%,in 3 days,yesterday,5 years ago,-75%
22,"Shooty Fruity
lowest price is 13.98 SR at -60%",17.47 SR,84.51%,in 3 days,yesterday,4 years ago,-50%
23,"Need for Speed™ Heat
lowest price is 41.86 SR at -86%",74.75 SR,81.49%,in 3 days,yesterday,2 years ago,-75%
24,"Kitty Powers' Love Life
lowest price is 6.73 SR at -75%",13.47 SR,80.68%,in 3 days,yesterday,4 years ago,-50%
25,"Strike Suit Infinity
lowest price is 4.80 SR at -80%",9.60 SR,79.15%,in 3 days,yesterday,9 years ago,-60%
26,Pathfinder: Kingmaker - Enhanced Plus Edition,15.72 SR,77.43%,in 3 days,yesterday,3 years ago,-55%
27,"Need for Speed™ Most Wanted
lowest price is 6.60 SR at -90%",16.50 SR,77.01%,,,,-75%
28,"Dance of Death: Du Lac & Fey
lowest price is 20.37 SR at -40%",23.76 SR,76.38%,,,,-30%
29,"Need for Speed™ Hot Pursuit Remastered
lowest price is 41.70 SR at -70%",45.87 SR,76.24%,,,,-67%
30,"Strike Suit Zero: Director's Cut
lowest price is 11.20 SR at -80%",22.40 SR,75.71%,in 3 days,yesterday,8 years ago,-60%
31,Joe Danger,9.40 SR,75.55%,in 3 days,4 hours ago,9 years ago,-80%
32,"Strike Suit Zero
lowest price is 8.40 SR at -85%",41.60 SR,74.30%,in 3 days,yesterday,9 years ago,-60%
33,"No Man's Sky
lowest price is 35.98 SR at -60%",44.97 SR,73.37%,in 3 days,yesterday,5 years ago,-50%
34,Outward,47.70 SR,73.27%,in 3 days,yesterday,3 years ago,-70%
35,Abandon Ship,15.98 SR,72.25%,in 3 days,yesterday,2 years ago,-60%
36,The Dark Pictures Anthology: Man of Medan,42.57 SR,71.52%,in 3 days,11 hours ago,2 years ago,-67%
37,The Dark Pictures Anthology: Little Hope,65.00 SR,71.38%,in 3 days,11 hours ago,13 months ago,-50%
38,"West of Dead
new historical low",13.98 SR,70.98%,in 3 days,yesterday,2 years ago,-60%
39,"Chime Sharp
lowest price is 3.15 SR at -85%",4.20 SR,68.26%,in 3 days,yesterday,5 years ago,-80%
40,"The Assembly
lowest price is 24.90 SR at -70%",33.20 SR,66.77%,in 3 days,yesterday,5 years ago,-60%
41,"Warhammer Quest
lowest price is 2.99 SR at -90%",5.99 SR,65.55%,in 3 days,yesterday,7 years ago,-80%
42,"Bloody Zombies
lowest price is 14.10 SR at -70%",18.80 SR,64.71%,in 3 days,yesterday,4 years ago,-60%
43,Trailblazers,9.39 SR,63.41%,in 3 days,yesterday,4 years ago,-80%
44,"Burnout™ Paradise Remastered
lowest price is 16.50 SR at -75%",26.40 SR,62.97%,in 3 days,yesterday,3 years ago,-60%
45,Warhammer Quest 2: The End Times,6.99 SR,57.47%,in 3 days,yesterday,3 years ago,-80%
46,Joe Danger 2: The Movie,9.40 SR,57.42%,in 3 days,4 hours ago,9 years ago,-80%
47,"Torn Tales
lowest price is 3.59 SR at -85%",4.79 SR,56.94%,,,,-80%
48,Squillamorph,10.78 SR,56.32%,,,,-60%
49,"Perfect
lowest price is 9.90 SR at -70%",11.55 SR,48.82%,,,,-65%
50,"Torn Tales: Rebound Edition
lowest price is 4.49 SR at -85%",5.99 SR,37.90%,,,,-80%
51,"Godus Wars
lowest price is 11.75 SR at -75%",23.50 SR,20.61%,in 3 days,yesterday,6 years ago,-50%
52,"Pathfinder: Kingmaker - Royal Ascension DLC
lowest price is 7.18 SR at -60%",8.97 SR,-,in 3 days,yesterday,-,-50%
53,"After the Fall® - Launch Edition
new historical low",53.99 SR,-,in 6 days,15 days ago,in 5 days,-10%
54,"Mecha Knights: Nightmare
new historical low",26.30 SR,86.88%,in 5 days,4 hours ago,3 months ago,-15%
55,Mirror,2.10 SR,95.39%,in 13 days,yesterday,4 years ago,-60%
56,Tales of the Black Forest,2.98 SR,94.59%,in 13 days,yesterday,2 years ago,-70%
57,Fox Hime Zero,2.10 SR,93.29%,in 13 days,yesterday,4 years ago,-60%
58,Vampires' Melody,4.97 SR,93.22%,in 13 days,yesterday,14 months ago,-50%
59,XCOM: Enemy Unknown,20.75 SR,92.77%,in 13 days,21 hours ago,9 years ago,-75%
60,King Exit,2.10 SR,91.72%,in 13 days,yesterday,4 years ago,-70%
61,Fantasy Girl,1.65 SR,91.10%,in 13 days,yesterday,2 years ago,-40%
62,Tree Simulator 2022,2.38 SR,90.60%,in 7 days,yesterday,8 months ago,-70%
63,Unrailed!,15.28 SR,90.56%,in 13 days,2 days ago,15 months ago,-70%
64,Barotrauma,14.98 SR,90.45%,in 13 days,yesterday,3 years ago,-75%
65,"Cook, Serve, Delicious! 3?!",17.47 SR,89.50%,in 11 days,9 days ago,14 months ago,-50%
66,Material Girl,2.10 SR,89.17%,in 13 days,yesterday,5 years ago,-70%
67,Tricolour Lovestory,2.80 SR,89.12%,in 13 days,yesterday,4 years ago,-60%
68,Elise the Devil,2.10 SR,88.89%,in 13 days,yesterday,4 years ago,-70%
69,The Vagrant,3.98 SR,88.04%,,,,-60%
70,Dark Elf,4.20 SR,86.20%,,,,-70%
71,Witch It,14.70 SR,86.15%,,,,-70%
72,Garfield Kart - Furious Racing,2.99 SR,85.60%,,,,-90%
73,"Cook, Serve, Delicious! 2!!",10.50 SR,85.53%,in 11 days,9 days ago,4 years ago,-75%
74,"UBERMOSH
lowest price is 1.37 SR at -50%",1.43 SR,85.47%,in 2 days,2 days ago,6 years ago,-88%
75,妄想症：Deliver Me,2.10 SR,85.14%,in 13 days,yesterday,3 years ago,-60%
76,Otaku's Fantasy,2.10 SR,85.03%,in 13 days,yesterday,4 years ago,-70%
77,"Fluffy Store
lowest price is 1.57 SR at -70%",2.10 SR,93.10%,in 13 days,yesterday,2 years ago,-60%
78,"FlatOut 2™
lowest price is 3.30 SR at -90%",20.80 SR,92.96%,in 12 days,2 days ago,16 years ago,-80%
79,"DEEP SPACE WAIFU: NEKOMIMI
lowest price is 3.15 SR at -40%",3.67 SR,91.52%,in 12 days,9 days ago,3 years ago,-30%
80,"Cook, Serve, Delicious!
lowest price is 3.30 SR at -90%",8.25 SR,91.40%,in 11 days,9 days ago,8 years ago,-75%
81,"Deep Space Waifu: FANTASY
lowest price is 3.67 SR at -30%",5.56 SR,90.43%,in 2 days,12 days ago,3 years ago,-30%
82,"FlatOut
lowest price is 2.60 SR at -90%",20.80 SR,88.93%,-,2 days ago,17 years ago,-80%
83,Russian Subway Dogs,13.47 SR,88.79%,in 13 days,yesterday,3 years ago,-55%
84,"Siralim Ultimate
lowest price is 27.96 SR at -20%",31.45 SR,88.77%,in 7 days,6 hours ago,22 hours ago,-10%
85,"Eve of Souls: Static Pod
lowest price is 2.10 SR at -60%",4.77 SR,87.46%,in 13 days,yesterday,3 years ago,-40%
86,UBERMOSH Vol.5,1.37 SR,86.39%,in 2 days,25 days ago,5 years ago,-50%
87,"Drift Phonk 666
lowest price is 1.37 SR at -50%",1.51 SR,86.23%,tomorrow,13 days ago,8 months ago,-45%
88,"Ninjin: Clash of Carrots
lowest price is 2.19 SR at -90%",4.39 SR,86.22%,in 13 days,yesterday,3 years ago,-80%
89,"The Inner World
lowest price is 4.79 SR at -85%",9.40 SR,86.14%,,,,-80%
90,Lost Lands: The Four Horsemen,8.40 SR,85.81%,,,,-65%
91,"Syberia
lowest price is 0.00 SR at -100%",6.30 SR,85.55%,,,,-85%
92,"Dwarf Journey
lowest price is 3.98 SR at -75%",5.42 SR,85.50%,in 14 days,4 hours ago,9 months ago,-66%
93,"SaGa Frontier Remastered
new historical low",76.00 SR,85.44%,in 6 days,7 days ago,8 months ago,-20%
94,Hell Girls,2.10 SR,84.98%,in 13 days,yesterday,5 years ago,-70%
95,Soulestination,5.56 SR,84.92%,in 10 days,4 hours ago,11 months ago,-30%
96,Deponia: The Complete Journey,13.90 SR,84.57%,in 13 days,yesterday,8 years ago,-90%
